epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
84,232.639,0.00218,0.5,1,0.80078,0.000127306,0.000127306,0.000127306
85,235.135,0.00111,0.5,1,0.80078,0.000120238,0.000120238,0.000120238
86,236.843,0.00371,0.5,1,0.80127,0.000113169,0.000113169,0.000113169
87,241.663,0.00342,0.5,1,0.80127,0.0001061,0.0001061,0.0001061
88,244.11,0.00489,0.5,1,0.79883,9.90318e-05,9.90318e-05,9.90318e-05
89,248.064,0.0015,0.5,1,0.79883,9.19632e-05,9.19632e-05,9.19632e-05
90,249.838,0.00101,0.5,1,0.79883,8.48946e-05,8.48946e-05,8.48946e-05
91,253.675,0.00119,0.5,1,0.79883,7.7826e-05,7.7826e-05,7.7826e-05
92,256.224,0.00304,0.5,1,0.80029,7.07574e-05,7.07574e-05,7.07574e-05
93,259.234,0.00164,0.5,1,0.80029,6.36888e-05,6.36888e-05,6.36888e-05
94,261.628,0.00115,0.5,1,0.80029,5.66202e-05,5.66202e-05,5.66202e-05
95,265.822,0.00329,0.5,1,0.80029,4.95516e-05,4.95516e-05,4.95516e-05
96,270.18,0.00097,0.5,1,0.80029,4.2483e-05,4.2483e-05,4.2483e-05
97,274.011,0.0026,0.5,1,0.80029,3.54144e-05,3.54144e-05,3.54144e-05
98,276.397,0.00093,0.5,1,0.7998,2.83458e-05,2.83458e-05,2.83458e-05
99,280.059,0.00273,0.5,1,0.7998,2.12772e-05,2.12772e-05,2.12772e-05
100,283.999,0.00796,0.5,1,0.80127,1.42086e-05,1.42086e-05,1.42086e-05
